character,binary code
e,000
r,0010
n,0011
d,01000
v,010010
,01001100

,01001101
F,0100111000
Q,0100111001
D,010011101
x,010011110
S,010011111
l,0101
,,011000
f,0110010
M,011001100
j,0110011010
E,01100110110
O,01100110111000
;,01100110111001
L,0110011011101
U,011001101111
h,01100111
c,01101
t,0111
a,1000
s,1001
 ,101
o,11000
p,110010
.,110011
u,1101
m,11100
b,1110100
q,1110101
P,111011000
N,111011001
V,1110110100
C,1110110101
I,1110110110
A,1110110111
g,1110111
i,1111
